· Creating environments
· Discovering benchmarks
·· Uninstalling from virtualenv-py3.13
·· Building 4a236a0e <main> for virtualenv-py3.13
·· Installing 4a236a0e <main> into virtualenv-py3.13
· Running 300 total benchmarks (5 commits * 1 environments * 60 benchmarks)
[ 0.00%] · For xDSL commit 4a236a0e <main>:
[ 0.00%] ·· Benchmarking virtualenv-py3.13
[ 0.17%] ··· Running (imports.ImportDialects.time_all_constant_load--)............................................................
[10.17%] ··· imports.ImportDialects.time_all_constant_load           21.2±0.5ms
[10.33%] ··· ...ts.ImportInterpreters.time_all_constant_load         28.1±0.8ms
[10.50%] ··· imports.ImportXDSL.time_import_xdsl                      134±0.5μs
[10.67%] ··· lexer.Lexer.time_constant_100                             2.28±0ms
[10.83%] ··· lexer.Lexer.time_constant_1000                         22.4±0.06ms
[11.00%] ··· lexer.Lexer.time_empty_program                          41.8±0.5μs
[11.17%] ··· llvm_backend.LLVMBackend.time_convert_module           5.11±0.02ms
[11.33%] ··· ...enchmarks.Extensibility.time_interface_check        58.2±0.07ns
[11.50%] ··· ...rks.Extensibility.time_interface_check_trait           59.0±1ns
[11.67%] ··· microbenchmarks.Extensibility.time_trait_check             808±5ns
[11.83%] ··· ...enchmarks.Extensibility.time_trait_check_neg        1.88±0.01μs
[12.00%] ··· ...hmarks.Extensibility.time_trait_check_single            620±3ns
[12.17%] ··· ...enchmarks.IRTraversal.time_iterate_block_ops          127±0.4μs
[12.33%] ··· microbenchmarks.IRTraversal.time_iterate_ops           9.85±0.07μs
[12.50%] ··· microbenchmarks.IRTraversal.time_walk_block_ops            415±5μs
[12.67%] ··· microbenchmarks.OpCreation.time_operation_build         17.3±0.1μs
[12.83%] ··· microbenchmarks.OpCreation.time_operation_clone           1.23±0ms
[13.00%] ··· ...marks.OpCreation.time_operation_clone_single        10.3±0.01μs
[13.17%] ··· ...ks.OpCreation.time_operation_constant_create        1.66±0.01μs
[13.33%] ··· ...arks.OpCreation.time_operation_constant_init         32.2±0.5μs
[13.50%] ··· ...obenchmarks.OpCreation.time_operation_create        5.61±0.03μs
[13.67%] ··· ...s.OpCreation.time_operation_create_optimised           587±10ns
[13.83%] ··· parser.Parser.time_constant_100                         16.3±0.2ms
[14.00%] ··· parser.Parser.time_constant_1000                         156±0.8ms
[14.17%] ··· parser.Parser.time_large_constant_tensor                   138±4ms
[14.33%] ··· printer.Printer.time_constant_0                         59.1±0.3μs
[14.50%] ··· printer.Printer.time_constant_100                      2.13±0.01ms
[14.67%] ··· printer.Printer.time_constant_1000                      20.3±0.1ms
[14.83%] ··· printer.Printer.time_dense_attr                         72.9±0.6ms
[15.00%] ··· ...Canonicalization.time_const_evaluate_operand            976±7ns
[15.17%] ··· ...nonicalization.time_handle_operation_removal            120±3ns
[15.33%] ··· ....Canonicalization.time_integer_attr_creation         19.1±0.1μs
[15.50%] ··· ...ng.Canonicalization.time_integer_attr_verify        4.18±0.03μs
[15.67%] ··· ...alization.time_integer_type_normalized_value            791±3ns
[15.83%] ··· ...ing.Canonicalization.time_irwithuses_add_use          202±0.3ns
[16.00%] ··· ...iting.Canonicalization.time_operation_create         35.3±0.2μs
[16.17%] ··· rewriting.Canonicalization.time_ssavalue_erase            1.20±0μs
[16.33%] ··· ...ing.Canonicalization.time_ssavalue_name_hint            789±8ns
[16.50%] ··· ...ng.Canonicalization.time_ssavalue_replace_by            934±9ns
[16.67%] ··· ...ng.ConstantFolding.time_constant_folding_100            124±1μs
[16.83%] ··· ...g.ConstantFolding.time_constant_folding_1000            585±8μs
[17.00%] ··· ...ing.ConstantFolding.time_constant_folding_20         80.6±0.4μs
[17.17%] ··· ...stantFolding.time_constant_folding_simple_20         81.5±0.2μs
[17.33%] ··· ...Folding.time_constant_folding_specialised_20        8.29±0.05μs
[17.50%] ··· rewriting.PatternRewriting.time_get_trait                  499±2ns
[17.67%] ··· ...ng.PatternRewriting.time_insert_point_before            726±4ns
[17.83%] ··· rewriting.PatternRewriting.time_region_walk             12.5±0.2μs
[18.00%] ··· ...g.PatternRewriting.time_verify_variadic_size        2.46±0.01μs
[18.17%] ··· rewriting.PatternRewriting.time_worklist_pop            69.6±0.1ns
[18.33%] ··· rewriting.PatternRewriting.time_worklist_push            170±0.5ns
[18.50%] ··· rewriting.RegionDCE.time_liveset_delete_dead            3.73±0.8μs
[18.67%] ··· rewriting.RegionDCE.time_liveset_set_live                  187±1ns
[18.83%] ··· rewriting.RegionDCE.time_post_order_iterator           3.66±0.01μs
[19.00%] ··· rewriting.RemoveUnused.time_is_trivially_dead              391±3ns
[19.17%] ··· ...moveUnused.time_operation_get_traits_of_type            608±6ns
[19.33%] ··· rewriting.RemoveUnused.time_result_only_effects        3.08±0.02μs
[19.50%] ··· ...ng.RemoveUnused.time_would_be_trivially_dead        5.62±0.02μs
[19.67%] ··· verifier.Verifier.time_constant_100                    3.11±0.03ms
[19.83%] ··· verifier.Verifier.time_constant_1000                   29.6±0.07ms
[20.00%] ··· verifier.Verifier.time_dense_attr_hex                   62.2±0.3μs
[20.00%] · For xDSL commit 233096e1 <main~1>:
[20.00%] ·· Building for virtualenv-py3.13
[20.00%] ·· Benchmarking virtualenv-py3.13
[20.17%] ··· Running (imports.ImportDialects.time_all_constant_load--)............................................................
[30.17%] ··· imports.ImportDialects.time_all_constant_load           21.1±0.2ms
[30.33%] ··· ...ts.ImportInterpreters.time_all_constant_load         27.7±0.4ms
[30.50%] ··· imports.ImportXDSL.time_import_xdsl                        137±4μs
[30.67%] ··· lexer.Lexer.time_constant_100                          2.41±0.01ms
[30.83%] ··· lexer.Lexer.time_constant_1000                          23.3±0.5ms
[31.00%] ··· lexer.Lexer.time_empty_program                         42.0±0.09μs
[31.17%] ··· llvm_backend.LLVMBackend.time_convert_module            5.19±0.1ms
[31.33%] ··· ...enchmarks.Extensibility.time_interface_check         58.4±0.1ns
[31.50%] ··· ...rks.Extensibility.time_interface_check_trait        58.1±0.05ns
[31.67%] ··· microbenchmarks.Extensibility.time_trait_check             824±6ns
[31.83%] ··· ...enchmarks.Extensibility.time_trait_check_neg        1.90±0.01μs
[32.00%] ··· ...hmarks.Extensibility.time_trait_check_single            635±5ns
[32.17%] ··· ...enchmarks.IRTraversal.time_iterate_block_ops          126±0.7μs
[32.33%] ··· microbenchmarks.IRTraversal.time_iterate_ops           9.81±0.02μs
[32.50%] ··· microbenchmarks.IRTraversal.time_walk_block_ops            422±2μs
[32.67%] ··· microbenchmarks.OpCreation.time_operation_build        17.3±0.04μs
[32.83%] ··· microbenchmarks.OpCreation.time_operation_clone           1.24±0ms
[33.00%] ··· ...marks.OpCreation.time_operation_clone_single        10.3±0.04μs
[33.17%] ··· ...ks.OpCreation.time_operation_constant_create           1.56±0μs
[33.33%] ··· ...arks.OpCreation.time_operation_constant_init         31.8±0.1μs
[33.50%] ··· ...obenchmarks.OpCreation.time_operation_create        5.63±0.05μs
[33.67%] ··· ...s.OpCreation.time_operation_create_optimised            585±4ns
[33.83%] ··· parser.Parser.time_constant_100                         16.4±0.1ms
[34.00%] ··· parser.Parser.time_constant_1000                         161±0.2ms
[34.17%] ··· parser.Parser.time_large_constant_tensor                   143±2ms
[34.33%] ··· printer.Printer.time_constant_0                           57.8±1μs
[34.50%] ··· printer.Printer.time_constant_100                      2.16±0.05ms
[34.67%] ··· printer.Printer.time_constant_1000                      19.7±0.2ms
[34.83%] ··· printer.Printer.time_dense_attr                         71.8±0.7ms
[35.00%] ··· ...Canonicalization.time_const_evaluate_operand           997±30ns
[35.17%] ··· ...nonicalization.time_handle_operation_removal          118±0.3ns
[35.33%] ··· ....Canonicalization.time_integer_attr_creation         19.4±0.1μs
[35.50%] ··· ...ng.Canonicalization.time_integer_attr_verify        4.22±0.03μs
[35.67%] ··· ...alization.time_integer_type_normalized_value            780±4ns
[35.83%] ··· ...ing.Canonicalization.time_irwithuses_add_use            206±2ns
[36.00%] ··· ...iting.Canonicalization.time_operation_create         36.8±0.2μs
[36.17%] ··· rewriting.Canonicalization.time_ssavalue_erase         1.20±0.02μs
[36.33%] ··· ...ing.Canonicalization.time_ssavalue_name_hint            804±4ns
[36.50%] ··· ...ng.Canonicalization.time_ssavalue_replace_by            928±5ns
[36.67%] ··· ...ng.ConstantFolding.time_constant_folding_100            127±1μs
[36.83%] ··· ...g.ConstantFolding.time_constant_folding_1000            603±6μs
[37.00%] ··· ...ing.ConstantFolding.time_constant_folding_20           81.5±2μs
[37.17%] ··· ...stantFolding.time_constant_folding_simple_20           84.4±2μs
[37.33%] ··· ...Folding.time_constant_folding_specialised_20        8.40±0.05μs
[37.50%] ··· rewriting.PatternRewriting.time_get_trait                  502±3ns
[37.67%] ··· ...ng.PatternRewriting.time_insert_point_before            719±2ns
[37.83%] ··· rewriting.PatternRewriting.time_region_walk            12.5±0.06μs
[38.00%] ··· ...g.PatternRewriting.time_verify_variadic_size        2.47±0.01μs
[38.17%] ··· rewriting.PatternRewriting.time_worklist_pop            70.0±0.1ns
[38.33%] ··· rewriting.PatternRewriting.time_worklist_push            171±0.8ns
[38.50%] ··· rewriting.RegionDCE.time_liveset_delete_dead           3.66±0.02μs
[38.67%] ··· rewriting.RegionDCE.time_liveset_set_live                184±0.4ns
[38.83%] ··· rewriting.RegionDCE.time_post_order_iterator           3.76±0.03μs
[39.00%] ··· rewriting.RemoveUnused.time_is_trivially_dead              399±3ns
